user_id,product_id,quantity
U10000,P20217,2
U10000,P20043,1
U10000,P20093,2
U10000,P20071,2
U10000,P20047,3
U10000,P20238,3
U10000,P20251,3
U10000,P20177,1
U10000,P20000,2
U10000,P20008,1
U10000,P20108,2
U10000,P20218,2
U10001,P20237,2
U10001,P20142,3
U10001,P20044,1
U10001,P20319,3
U10001,P20035,3
U10001,P20093,1
U10001,P20145,4
U10001,P20101,3
U10001,P20074,3
U10001,P20179,3
U10001,P20211,2
U10001,P20113,1
U10001,P20250,1
U10001,P20086,3
U10001,P20160,2
U10002,P20074,2
U10002,P20052,4
U10002,P20307,1
U10002,P20032,2
U10002,P20125,2
U10002,P20024,1
U10002,P20282,5
U10002,P20133,3
U10002,P20073,4
U10002,P20311,2
U10002,P20202,3
U10002,P20029,3
U10002,P20000,3
U10002,P20050,6
U10002,P20131,3
U10002,P20082,1
U10003,P20308,1
U10003,P20017,5
U10003,P20225,5
U10003,P20163,1
U10003,P20030,2
U10003,P20166,3
U10004,P20206,1
U10004,P20126,2
U10004,P20159,1
U10004,P20223,1
U10004,P20255,2
U10004,P20049,1
U10004,P20090,2
U10004,P20085,2
U10004,P20205,3
U10004,P20190,3
U10004,P20143,4
U10004,P20202,2
U10004,P20292,1
U10004,P20037,2
U10004,P20309,3
U10004,P20264,1
U10004,P20235,2
U10004,P20002,4
U10004,P20193,3
U10004,P20214,1
U10004,P20149,3
U10005,P20286,1
U10005,P20082,4
U10005,P20271,2
U10005,P20070,1
U10005,P20148,2
U10005,P20246,2
U10005,P20146,1
U10005,P20291,1
U10005,P20115,1
U10005,P20027,2
U10005,P20197,3
U10005,P20144,2
U10005,P20231,1
U10005,P20132,1
U10005,P20122,2
U10005,P20057,2
U10006,P20041,3
U10006,P20167,3
U10006,P20082,2
U10006,P20159,3
U10006,P20032,1
U10006,P20315,1
U10006,P20040,3
U10006,P20249,1
U10006,P20161,1
U10006,P20162,1
U10006,P20084,3
U10006,P20267,4
U10006,P20133,1
U10006,P20187,2
U10006,P20151,2
U10006,P20269,1
U10006,P20075,3
U10006,P20029,2
U10007,P20071,2
U10007,P20293,1
U10007,P20312,3
U10007,P20237,1
U10007,P20168,2
U10007,P20298,3
U10007,P20299,2
U10007,P20137,2
U10008,P20271,2
U10008,P20237,2
U10008,P20290,2
U10008,P20294,2
U10008,P20063,3
U10008,P20087,1
U10008,P20245,2
U10008,P20115,4
U10008,P20258,1
U10008,P20110,1
U10008,P20197,2
U10008,P20081,2
U10008,P20050,2
U10008,P20043,2
U10008,P20007,4
U10008,P20276,5
U10008,P20057,1
U10008,P20307,1
U10008,P20318,3
U10008,P20273,2
U10008,P20075,2
U10008,P20124,1
U10008,P20053,3
U10008,P20170,2
U10009,P20230,4
U10009,P20115,1
U10009,P20187,2
U10009,P20298,2
U10009,P20200,3
U10009,P20312,5
U10009,P20209,3
U10009,P20008,6
U10009,P20207,4
U10009,P20217,2
U10009,P20161,1
U10009,P20163,2
U10009,P20082,2
U10009,P20146,2
U10009,P20087,2
U10009,P20144,2
U10009,P20313,3
U10009,P20281,3
U10009,P20271,2
U10010,P20187,2
U10010,P20011,1
U10010,P20060,2
U10010,P20001,2
U10010,P20206,2
U10010,P20214,1
U10010,P20306,1
U10010,P20038,4
U10010,P20140,4
U10011,P20016,3
U10011,P20174,2
U10011,P20148,2
U10011,P20044,1
U10011,P20096,4
U10011,P20263,2
U10011,P20303,1
U10011,P20162,4
U10011,P20254,3
U10011,P20248,2
U10011,P20231,2
U10011,P20224,1
U10011,P20097,1
U10011,P20047,1
U10011,P20029,2
U10011,P20165,3
U10011,P20093,3
U10011,P20156,2
U10011,P20098,4
U10011,P20038,1
U10012,P20199,2
U10012,P20293,2
U10012,P20008,2
U10012,P20071,2
U10012,P20305,5
U10012,P20238,1
U10013,P20245,5
U10013,P20143,4
U10013,P20176,3
U10013,P20301,1
U10013,P20135,4
U10013,P20304,3
U10013,P20160,3
U10013,P20293,2
U10013,P20041,2
U10013,P20084,3
U10013,P20307,1
U10013,P20211,2
U10013,P20215,1
U10013,P20080,2
U10013,P20213,2
U10013,P20162,1
U10013,P20230,3
U10013,P20212,1
U10013,P20087,1
U10014,P20073,4
U10014,P20071,2
U10014,P20151,3
U10014,P20241,2
U10014,P20097,3
U10014,P20162,4
U10014,P20140,3
U10014,P20248,1
U10014,P20202,1
U10014,P20254,2
U10015,P20308,2
U10015,P20195,1
U10015,P20221,5
U10015,P20095,4
U10015,P20286,2
U10015,P20153,1
U10015,P20069,2
U10015,P20025,4
U10015,P20180,1
U10015,P20260,2
U10015,P20035,1
U10015,P20263,1
U10016,P20090,1
U10016,P20045,4
U10016,P20198,1
U10016,P20152,3
U10016,P20179,2
U10016,P20033,3
U10016,P20290,2
U10016,P20169,3
U10017,P20019,1
U10017,P20255,2
U10017,P20154,3
U10017,P20248,3
U10017,P20196,2
U10017,P20138,1
U10018,P20260,4
U10018,P20209,1
U10018,P20090,3
U10018,P20168,2
U10018,P20250,1
U10018,P20284,4
U10018,P20014,1
U10018,P20035,1
U10018,P20049,3
U10018,P20313,4
U10018,P20312,2
U10018,P20294,3
U10018,P20180,5
U10019,P20045,3
U10019,P20063,2
U10019,P20181,3
U10019,P20087,1
U10019,P20312,2
U10019,P20065,1
U10019,P20238,2
U10019,P20294,1
U10019,P20137,2
U10019,P20237,1
U10019,P20225,2
U10020,P20081,2
U10020,P20167,3
U10020,P20073,1
U10020,P20049,2
U10020,P20187,2
U10020,P20008,6
U10020,P20306,3
U10020,P20171,2
U10020,P20000,2
U10020,P20061,1
U10020,P20267,1
U10020,P20270,2
U10021,P20190,5
U10021,P20106,4
